"Unique Number","Name","Established by","Condition","NTS map sheet","Latitude","Latitude sigma","Longitude","Longitude sigma","Ellipsoidal height","Ellipsoidal height sigma","V(n)","Vsig(n)","V(e)","Vsig(e)","V(u)","Vsig(u)","Reference system","Published year","Project ID","CGVD2013","CGVD2013 Published Year","CGVD2013 Project ID","IGLD85","IGLD85 Published Year","IGLD85 Project ID","CGVD28","CGVD28 Published Year","CGVD28 Project ID",
M147005,BUTB WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"103H01",53.06300356,0.002,128.46373330,0.0015,1086.6726,0.0033,0.5608,0.3279,0.3483,0.2454,1.3172,0.5462,NAD83CSRS,2019,M18-020,,,,,,,,,,
987020,CHWK WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092G01",49.15660355,0.0006,122.00840952,0.0004,174.3297,0.001,2.9312,0.2256,4.7846,0.1531,-0.4341,0.3299,NAD83CSRS,2019,M18-020,,,,,,,,,,
887006,DRAO WCDA-PGC,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"082E05",49.32261394,0.0002,119.62496532,0.0001,542.2248,0.0002,1.5501,0.6289,3.6763,0.4445,-0.655,1.0027,NAD83CSRS,2019,M18-020,558.463,2013,H13ML1311,559.695,1992,IGLD85AV92,558.243,1994,N2C94,
M097001,GLDR WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092E09",49.68148195,0.0005,126.12731307,0.0004,-9.1429,0.0008,5.3067,1.1962,8.5431,0.933,1.6419,2.075,NAD83CSRS,2019,M18-020,,,,,,,,,,
927005,HOLB WCDA-PGC,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"102I09",50.64034961,0.0014,128.13497902,0.001,559.7381,0.0022,4.1653,1.2252,2.9003,0.9277,0.9075,2.0373,NAD83CSRS,2019,M18-020,575.363,2013,H13VI1311,,,,575.136,1992,N6C92,
M147004,HWKB WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"103H11",53.59882601,0.0021,129.15489668,0.0016,779.8772,0.0036,-0.0485,2.742,-1.0953,2.0548,2.991,4.5491,NAD83CSRS,2019,M18-020,,,,,,,,,,
M157000,KTMT WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"103I02",54.08596771,0.0036,128.59806306,0.0028,90.3823,0.0064,-0.3595,0.5339,2.0028,0.4089,2.1864,0.9393,NAD83CSRS,2019,M18-020,,,,,,,,,,
M107001,MYRA WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"092F12",49.55097268,0.0005,125.57070608,0.0004,605.964,0.0009,5.8434,0.118,8.949,0.0905,3.347,0.1879,NAD83CSRS,2019,M18-020,,,,,,,,,,
957000,NANO WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092F08",49.29480627,0.0007,124.08646132,0.0005,6.8378,0.0011,5.3837,0.3244,7.745,0.2397,0.1374,0.4964,NAD83CSRS,2019,M18-020,,,,,,,,,,
987003,PGC5 WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092B11",48.64852869,0.0013,123.45111092,0.001,3.8572,0.0022,5.2621,0.7948,7.812,0.59,-0.764,1.2803,NAD83CSRS,2019,M18-020,,,,,,,,,,
M027000,PTAL WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092F07",49.25632522,0.0002,124.86093770,0.0001,93.0119,0.0002,6.0469,0.0569,8.3646,0.0407,1.6752,0.0701,NAD83CSRS,2019,M18-020,108.642,2013,H13VI1311,,,,108.465,2002,N1C02,
M077000,PTRF WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092C09",48.54426458,0.0007,124.41304102,0.0006,173.0897,0.0012,6.1716,0.2413,10.8107,0.175,1.9049,0.3472,NAD83CSRS,2019,M18-020,,,,,,,,,,
M067000,QUAD WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092K03",50.13249086,0.0005,125.33081246,0.0004,-7.2314,0.0009,5.0313,0.2343,5.7553,0.1735,3.2494,0.3445,NAD83CSRS,2019,M18-020,,,,,,,,,,
M037002,SC04 WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092B13",48.92315975,0.0002,123.70411158,0.0001,15.1402,0.0002,5.1294,0.0577,7.936,0.0409,-0.3442,0.0719,NAD83CSRS,2019,M18-020,,,,,,,,,,
987006,SMTH SMITHERS,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"093L14",54.82374685,0.0009,127.18685101,0.0007,513.5939,0.0016,1.2132,0.1407,1.503,0.1015,1.2814,0.2366,NAD83CSRS,2019,M18-020,522.441,2013,H13ML1311,,,,521.994,2000,N12C00,
M087002,TFNO WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092F04",49.15413921,0.0004,125.90782079,0.0003,-3.6459,0.0006,7.8993,0.9276,12.7604,0.7716,0.1065,1.5795,NAD83CSRS,2019,M18-020,,,,,,,,,,
947001,UCLU WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092C13",48.92563379,0.0012,125.54162253,0.0009,10.3115,0.0019,8.1457,0.6311,12.6499,0.4917,0.3767,1.0317,NAD83CSRS,2019,M18-020,28.723,2013,H13VI1311,,,,28.569,2002,N1C02,
937011,WILL WCDA-PGC,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"093B01",52.23686304,0.0002,122.16779369,0.0001,1095.9263,0.0002,1.4329,0.2164,2.4277,0.1483,0.4148,0.3153,NAD83CSRS,2019,M18-020,1110.361,2013,H13ML1311,,,,1109.987,1995,N1C95,
M167000,WSLB WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"092J02",50.12653516,0.0001,122.92117154,0.0003,909.7367,0.0005,,,,,,,NAD83CSRS,2017,M17-004,,,,,,,,,,
